target,feat1,feat3
0.78723,0.083333,0.0031503
0.78749,0.125,0.0032849
0.79498,0.16667,0.0032425
0.78846,0.20833,0.0033285
0.79302,0.25,0.0033083
0.79351,0.29167,0.0032038
0.78006,0.33333,0.003382
0.79233,0.375,0.003228
0.79303,0.41667,0.0035401
0.78801,0.45833,0.0029949
0.78799,0.5,0.0032102
0.78185,0.54167,0.0031876
0.78432,0.58333,0.0031496
0.78221,0.625,0.0031696
0.78956,0.66667,0.0030058
0.77755,0.70833,0.0033594
0.78162,0.75,0.0036745
0.78864,0.79167,0.0038161
0.78633,0.83333,0.0033256
0.77553,0.875,0.0033321
0.78628,0.91667,0.0034099
0.77403,0.95833,0.0033289
0.78458,1.0,0.0032282
0.78155,1.0417,0.0033573
0.7788,1.0833,0.003415
0.7844,1.125,0.003362
0.77141,1.1667,0.0035251
0.78402,1.2083,0.0032121
0.78193,1.25,0.0033809
0.779,1.2917,0.0032999
0.78046,1.3333,0.003365
0.78099,1.375,0.003314
0.7723,1.4167,0.0031232
0.76772,1.4583,0.0031604
0.76886,1.5,0.003144
0.76807,1.5417,0.0030405
0.77745,1.5833,0.0032878
0.78003,1.625,0.0033264
0.77715,1.6667,0.0029121
0.77896,1.7083,0.0033558
0.77051,1.75,0.0032036
0.76953,1.7917,0.0030473
0.76498,1.8333,0.0032744
0.76278,1.875,0.0032299
0.77622,1.9167,0.0033039
0.76754,1.9583,0.0032164
0.76629,2.0,0.0033289
0.77288,2.0417,0.0031449
0.76984,2.0833,0.0031337
0.76987,2.125,0.0034492
0.76804,2.1667,0.0029513
0.76245,2.2083,0.0031321
0.76618,2.25,0.00316
0.76245,2.2917,0.0033579
0.76125,2.3333,0.0031698
0.77078,2.375,0.0030571
0.75858,2.4167,0.0032377
0.76846,2.4583,0.0032176
0.76035,2.5,0.0036326
0.75828,2.5417,0.0033071
0.76286,2.5833,0.0033122
0.76723,2.625,0.0032506
0.76356,2.6667,0.0034375
0.75704,2.7083,0.0031324
0.7598,2.75,0.0033444
0.76238,2.7917,0.0031639
0.75988,2.8333,0.0031194
0.75352,2.875,0.0034102
0.75809,2.9167,0.0032144
0.75696,2.9583,0.0030601
0.75064,3.0,0.0031874
0.75434,3.0417,0.0034445
0.75823,3.0833,0.003162
0.74958,3.125,0.0033458
0.75443,3.1667,0.0031989
0.75805,3.2083,0.0029764
0.75743,3.25,0.0029498
0.75268,3.2917,0.0036609
0.75527,3.3333,0.003105
0.75781,3.375,0.0030662
0.75372,3.4167,0.0030662
0.74665,3.4583,0.0030247
0.74803,3.5,0.003266
0.75586,3.5417,0.003291
0.75527,3.5833,0.0033541
0.75612,3.625,0.0031966
0.7508,3.6667,0.0033122
0.75485,3.7083,0.0033426
0.74504,3.75,0.0032482
0.74324,3.7917,0.0033558
0.74969,3.8333,0.0032297
0.7455,3.875,0.0033569
0.74644,3.9167,0.0033193
0.75114,3.9583,0.0030242
0.74173,4.0,0.0034431
0.74651,4.0417,0.0030442
0.74253,4.0833,0.0033743
0.74796,4.125,0.0034794
0.74438,4.1667,0.0030081
0.74429,4.2083,0.0033048
0.74184,4.25,0.0032445
0.7478,4.2917,0.0033069
0.73788,4.3333,0.0033235
0.74268,4.375,0.00313
0.74753,4.4167,0.0032448
0.73391,4.4583,0.0026056
0.74499,4.5,0.0032909
0.73247,4.5417,0.0030356
0.74429,4.5833,0.003264
0.74279,4.625,0.0034264
0.73311,4.6667,0.0032794
0.73494,4.7083,0.0036761
0.73177,4.75,0.0033407
0.72973,4.7917,0.0036433
0.73543,4.8333,0.0033044
0.73286,4.875,0.003365
0.73136,4.9167,0.0034127
0.73227,4.9583,0.0034599
0.73954,5.0,0.0034372
0.73644,5.0417,0.0033162
0.74023,5.0833,0.0031919
0.7374,5.125,0.0032306
0.7388,5.1667,0.0033362
0.73141,5.2083,0.0032027
0.73675,5.25,0.0030378
0.73723,5.2917,0.0032747
0.73427,5.3333,0.0033055
0.72244,5.375,0.0032716
0.73576,5.4167,0.0031342
0.73358,5.4583,0.003702
0.72971,5.5,0.0031433
0.73271,5.5417,0.0030124
0.72144,5.5833,0.0030297
0.72158,5.625,0.0032531
0.72924,5.6667,0.0030525
0.72872,5.7083,0.0030538
0.72253,5.75,0.0030255
0.72204,5.7917,0.0033989
0.72306,5.8333,0.0033508
0.71956,5.875,0.0033762
0.72468,5.9167,0.0033351
0.72331,5.9583,0.0029108
0.72958,6.0,0.0038115
0.71643,6.0417,0.0033522
0.72074,6.0833,0.0032975
0.72215,6.125,0.0032905
0.71886,6.1667,0.0033794
